x,y
1154.4644981864258,773.8246295470744
1155.4179407212803,800.7421101848315
1156.3713832561345,827.6595908225886
1157.324825790989,854.5770714603458
1158.2782683258433,881.4945520981029
1159.2317108606978,908.41203273586
1160.185153395552,935.3295133736171
1161.1385959304066,962.2469940113742
1162.0920384652609,989.1644746491313
1163.0454810001154,1016.0819552868884
1163.99892353497,1042.9994359246455
1164.9523660698242,1069.9169165624025
1165.9058086046787,1096.8343972001599
1166.859251139533,1123.7518778379167
1167.8126936743874,1150.669358475674
1168.7661362092417,1177.586839113431
1169.7195787440962,1204.5043197511882
1170.6730212789507,1231.4218003889453
1171.626463813805,1258.3392810267023
1172.5799063486595,1285.2567616644596
1173.5333488835138,1312.1742423022165
1174.4867914183683,1339.0917229399738
1175.4402339532226,1366.009203577731
1176.393676488077,1392.926684215488
1177.3471190229313,1419.844164853245
1178.3005615577858,1446.7616454910021
1179.2540040926403,1473.6791261287592
1180.2074466274946,1500.5966067665163
1181.1608891623491,1527.5140874042736
1182.1143316972034,1554.4315680420304
1183.067774232058,1581.3490486797878
1184.0212167669122,1608.2665293175448
1184.9746593017667,1635.184009955302
1185.928101836621,1662.101490593059
1186.8815443714755,1689.018971230816
1187.83498690633,1715.9364518685734
1188.7884294411842,1742.8539325063302
1189.7418719760387,1769.7714131440875
1190.695314510893,1796.6888937818446
1191.6487570457475,1823.6063744196017
1192.6021995806018,1850.5238550573588
1193.5556421154563,1877.4413356951159
1194.5090846503108,1904.358816332873
1195.462527185165,1931.27629697063
1196.4159697200196,1958.1937776083873
1197.3694122548739,1985.1112582461444
1198.3228547897284,2012.0287388839015
1199.2762973245826,2038.9462195216586
1200.2297398594371,2065.8637001594157
1201.1831823942914,2092.781180797173
1202.136624929146,2119.69866143493
1203.0900674640004,2146.6161420726867
1204.0435099988547,2173.533622710444
1204.9969525337092,2200.4511033482013
1205.9503950685635,2227.368583985958
1206.903837603418,2254.2860646237154
1207.8572801382722,2281.2035452614728
1208.8107226731267,2308.1210258992296
1209.764165207981,2335.0385065369865
1210.7176077428355,2361.9559871747438
1211.67105027769,2388.873467812501
1212.6244928125443,2415.790948450258
1213.5779353473988,2442.7084290880152
1214.531377882253,2469.6259097257725
1215.4848204171076,2496.5433903635294
1216.4382629519619,2523.4608710012863
1217.3917054868164,2550.3783516390436
1218.3451480216709,2577.295832276801
1219.2985905565251,2604.2133129145577
1220.2520330913796,2631.130793552315
1221.205475626234,2658.0482741900723
1222.1589181610884,2684.965754827829
1223.1123606959427,2711.883235465586
1224.0658032307972,2738.8007161033433
1225.0192457656515,2765.7181967411007
1225.972688300506,2792.6356773788575
1226.9261308353605,2819.553158016615
1227.8795733702148,2846.4706386543717
1228.8330159050693,2873.388119292129
1229.7864584399235,2900.305599929886
1230.739900974778,2927.223080567643
1231.6933435096323,2954.1405612054004
1232.6467860444868,2981.0580418431573
1233.600228579341,3007.9755224809146
1234.5536711141956,3034.8930031186715
1235.50711364905,3061.8104837564288
1236.4605561839044,3088.7279643941856
1237.4139987187589,3115.645445031943
1238.3674412536132,3142.5629256697002
1239.3208837884677,3169.480406307457
1240.274326323322,3196.3978869452144
1241.2277688581764,3223.3153675829712
1242.181211393031,3250.2328482207286
1243.1346539278852,3277.1503288584854
1244.0880964627397,3304.0678094962427
1245.041538997594,3330.9852901339996
1245.9949815324485,3357.902770771757
1246.9484240673028,3384.820251409514
1247.9018666021573,3411.737732047271
1248.8553091370115,3438.6552126850283
1249.808751671866,3465.572693322785
