x,y
2989.116581166163,684.7577221756801
2990.206257466916,712.017694588229
2991.295933767669,739.277667000778
2992.385610068422,766.5376394133269
2993.4752863691747,793.797611825876
2994.564962669928,821.0575842384249
2995.6546389706805,848.3175566509739
2996.7443152714336,875.5775290635228
2997.8339915721863,902.8375014760718
2998.9236678729394,930.0974738886207
3000.013344173692,957.3574463011696
3001.103020474445,984.6174187137186
3002.192696775198,1011.8773911262676
3003.282373075951,1039.1373635388165
3004.3720493767037,1066.3973359513654
3005.461725677457,1093.6573083639146
3006.5514019782095,1120.9172807764635
3007.6410782789626,1148.1772531890124
3008.7307545797153,1175.4372256015613
3009.8204308804684,1202.6971980141102
3010.910107181221,1229.957170426659
3011.999783481974,1257.2171428392082
3013.089459782727,1284.4771152517571
3014.17913608348,1311.7370876643063
3015.2688123842327,1338.9970600768552
3016.358488684986,1366.257032489404
3017.448164985739,1393.517004901953
3018.5378412864916,1420.776977314502
3019.6275175872447,1448.0369497270508
3020.7171938879974,1475.2969221396
3021.8068701887505,1502.5568945521488
3022.896546489503,1529.816866964698
3023.9862227902563,1557.0768393772469
3025.075899091009,1584.3368117897958
3026.165575391762,1611.5967842023447
3027.255251692515,1638.8567566148936
3028.344927993268,1666.1167290274425
3029.4346042940206,1693.3767014399914
3030.5242805947737,1720.6366738525405
3031.6139568955264,1747.8966462650894
3032.7036331962795,1775.1566186776383
3033.793309497032,1802.4165910901875
3034.8829857977853,1829.6765635027364
3035.972662098538,1856.9365359152853
3037.062338399291,1884.1965083278342
3038.1520147000438,1911.4564807403833
3039.241691000797,1938.7164531529322
3040.3313673015496,1965.9764255654811
3041.4210436023027,1993.23639797803
3042.5107199030554,2020.496370390579
3043.6003962038085,2047.756342803128
3044.6900725045616,2075.016315215677
3045.7797488053143,2102.276287628226
3046.8694251060674,2129.536260040775
3047.95910140682,2156.7962324533237
3049.048777707573,2184.056204865873
3050.138454008326,2211.3161772784215
3051.228130309079,2238.576149690971
3052.3178066098317,2265.8361221035198
3053.407482910585,2293.0960945160687
3054.4971592113375,2320.3560669286176
3055.5868355120906,2347.6160393411665
3056.6765118128433,2374.876011753716
3057.7661881135964,2402.1359841662643
3058.855864414349,2429.3959565788136
3059.945540715102,2456.655928991362
3061.035217015855,2483.9159014039114
3062.124893316608,2511.1758738164604
3063.2145696173607,2538.4358462290093
3064.304245918114,2565.695818641558
3065.3939222188665,2592.955791054107
3066.4835985196196,2620.2157634666564
3067.5732748203723,2647.475735879205
3068.6629511211254,2674.7357082917542
3069.752627421878,2701.9956807043027
3070.842303722631,2729.255653116852
3071.9319800233843,2756.515625529401
3073.021656324137,2783.77559794195
3074.11133262489,2811.0355703544988
3075.201008925643,2838.2955427670477
3076.290685226396,2865.5555151795966
3077.3803615271486,2892.8154875921455
3078.4700378279017,2920.075460004695
3079.5597141286544,2947.3354324172437
3080.6493904294075,2974.5954048297926
3081.73906673016,3001.8553772423415
3082.8287430309133,3029.1153496548905
3083.918419331666,3056.3753220674394
3085.008095632419,3083.6352944799883
3086.0977719331718,3110.895266892537
3087.187448233925,3138.1552393050865
3088.2771245346776,3165.4152117176354
3089.3668008354307,3192.6751841301843
3090.4564771361834,3219.9351565427332
3091.5461534369365,3247.195128955282
3092.635829737689,3274.455101367831
3093.7255060384423,3301.71507378038
3094.815182339195,3328.975046192929
3095.904858639948,3356.2350186054778
3096.9945349407008,3383.494991018027
3098.084211241454,3410.754963430576
